Employee ID,Start Date,Employment Status,COBRA Start Date,COBRA Termination Date,First Name,Last Name,Social Security Number,Relationship,Email,Mobile Number,Date Of Birth,Gender,,Address Line 1,Address Line 2,City,State,State,Zip,Benefit Class,Division,Division,Medical Insurance Plan Name,Medical Group ID,Medical Plan Member ID,Medical Plan Effective Date,Medical Plan Termination Date,Dental Insurance Plan Name,Dental Group ID,Dental Plan Effective Date,Dental Plan Termination Date,Vision Insurance Plan Name,Vision Group ID,Vision Member ID,Vision Plan Effective Date,Vision Plan Termination Date
E001,2018-03-12,Active,,,James,,412-56-8290,Member,jporter@example.com,415-772-9088,1986-07-21,Male,,221 Market St,,San Francisco,CA,CA,94105,,,,BlueShield Gold,,MBR-548293,2018-03-15,,Delta Dental Premier,,2018-03-15,,VSP Choice,,,2018-03-15,
E001,,,,,Maya,Porter,522-88-1163,Spouse,maya.chen@example.com,617-444-2387,1990-01-14,Female,,84 Beacon St,Apt 3B,Boston,MA,MA,2108,,,,,,,,,,,,,,,,,
E003,2020-11-09,Terminated,2024-01-01,2024-06-30,Robert,Nguyen,389-45-6672,Member,robert.nguyen@example.com,503-766-1093,1982-03-19,Male,,116 NE Irving St,,Portland,OR,OR,97232,,,,UnitedHealthcare PPO,,389456672,2020-11-15,2023-12-31,Guardian Dental,,2020-11-15,2023-12-31,VSP Basic,,,2020-11-15,2023-12-31
E004,2021-02-20,Active,,,Priya,Sharma,601-55-2098,Member,priya.sharma@example.com,773-222-5076,1994-09-11,Female,,4230 N Lincoln Ave,,Chicago,IL,IL,60613,,,,BlueCross Silver,,601552098,2021-03-01,,Delta Dental Premier,,2021-03-01,,EyeMed Core,,,2021-03-01,
E005,2017-07-10,Active,,,Ethan,Wright,493-62-3091,Member,ethan.wright@example.com,720-889-1125,1988-02-28,Male,,915 Logan St,Apt 6,Denver,CO,CO,80203,,,,Kaiser HMO,,493623091,2017-07-15,,Cigna Dental Plus,,2017-07-15,,VSP Choice,,,2017-07-15,
E005,,,,,Alicia,Wright,377-48-9321,Child,alicia.martinez@example.com,210-667-3499,2005-04-23,Female,,1781 McCullough Ave,,San Antonio,TX,TX,78212,,,,,,,,,,,,,,,,,
E005,,,,,Logan,Wright,512-11-7852,Child,logan.davis@example.com,818-775-4401,9999-08-30,Male,,6425 Ventura Blvd,Unit 202,Los Angeles,CA,CA,91606,,,,,,,,,,,,,,,,,
E008,2015-05-17,Terminated,2023-02-01,2023-08-31,Sandra,Kim,521-23-7701,Member,sandra.kim@example.com,347-310-7281,1979-12-08,Female,,2540 Atlantic Ave,,Brooklyn,NY,NY,11207,,,,BlueCross Silver,,MBR-109823,2024-05-20,2023-01-31,Cigna Dental Basic,,2015-05-20,,VSP Core,,,2015-05-20,2023-01-31
E009,2023-03-11,Active,,,,Peterson,401-88-1290,Member,oliver.peterson@example.com,702-991-4228,1998-11-25,Male,,745 E Desert Inn Rd,,Las Vegas,NV,NV,89109,,,,Kaiser HMO,,MBR-784129,2023-03-15,,Delta Dental Premier,,2023-03-15,,EyeMed Advantage,,,2023-03-15,
E010,2020-04-25,Active,,,Naomi,Bennett,588-40-6511,Member,naomi.bennett@example.com,919-552-6140,1985-05-09,Female,,1331 Cameron St,,Raleigh,NC,NC,27605,,,,UnitedHealthcare PPO,,MBR-320114,2020-04-30,,Guardian Dental,,2030-04-30,2023-01-31,VSP Choice,,,2020-04-30,
